FlightDate,Airline,Origin,Dest,CRSDepTime,CRSArrTime,Distance,DepDelayMinutes,DepDel15,DepartureDelayGroups,TaxiOut,AirTime,ArrDelayMinutes
2022-04-23,Envoy Air,MIA,TLH,2236,9,"402|,.0",0.0,0.0,-1.0,13.0,71.0,1.0
2022-06-13,Southwest Airlines Co.,AUS,MDW,845,1115,972.0,0.0,0.0,-1.0,15.0,124.0,0.0
2022-04-15,Comair Inc.,MKE,PHL,1014,1315,690.0,29.0,1.0,1.0,19.0,86.0,21.0
2022-03-05,United Air Lines Inc.,ORD,BUF,1758,2036,473.0,50.0,1.0,3.0,19.0,65.0,39.0
2022-03-28,Frontier Airlines Inc.,TPA,DEN,2111,2325,1506.0,28.0,1.0,1.0,12.0,213.0,6.0
2022-02-27,Southwest Airlines Co.,OAK,BUR,615,730,325.0,0#.0,0.0,-1.0,11.0,51.0,9.0
2022-03-04,United Air Lines Inc.,MSO,DEN,630,842,679.0,9.0,0.0,0.0,12.0,98.0,0.0
2022-07-03,Southwest Airlines Co.,SFO,DEN,1510,1845,967.0,"5#,5.0",1.0,3.0,15.0,118.0,37.0
2022-06-26,Southwest Airlines Co.,MSY,FLL,750,1055,674.0,0.0,0.0,-1.0,10.0,96.0,0.0
2022-07-16,American Airlines Inc.,MIA,DCA,1345,1622,919.0,0.0,0.0,-1.0,16.0,148.0,7.0
2022-01-22,Republic Airlines,MSY,DCA,1319,1650,969.0,"0.,|0",0.0,-1.0,13.0,125.0,0.0
2022-04-13,Delta Air Lines Inc.,LGA,MIA,1110,1422,1096.0,48.0,1.0,3.0,25.0,144.0,31.0
2022-01-06,Republic Airlines,PHL,PVD,939,1056,237.0,12.0,0.0,0.0,31.0,44.0,15.0
2022-05-19,"GoJet Airlines, LLC d/b/a United Express",DCA,EWR,1302,1429,199.0,164.0,1.0,10.0,34.#0,46.0,165.0
2022-02-18,Frontier Airlines Inc.,ISP,MCO,600,900,971.0,4.0,0.0,0.0,14.0,146.0,0.0
2022-04-17,Delta Air Lines Inc.,STL,SLC,1845,2101,1156.0,9.0,0.0,0.0,16.0,176.0,17.0
2022-01-07,SkyWest Airlines Inc.,SMF,LAX,1958,2142,37|#3.0,16.0,1.0,1.0,9.0,67.0,0.0
2022-04-05,JetBlue Airways,FLL,LGA,1154,1459,1076.0,5.0,0.0,0.0,12.0,141.0,0.0
2022-02-09,SkyWest Airlines Inc.,SFO,BUR,1615,1733,326.0,39.0,1.0,2.0,13.0,57.0,33.0
2022-04-24,Southwest Airlines Co.,PHX,SAN,645,755,304.0,17.0,1.0,1.0,11.0,51.0,11.0
2022-04-08,Southwest Airlines Co.,MDW,BOS,1355,1710,"861.|,0",0.0,0.0,-1.0,9.0,109.0,0.0
2022-03-07,Southwest Airlines Co.,DAL,IND,1420,1720,75||5.0,0.0,0.0,0.0,10.0,99.0,0.0
2022-05-02,American Airlines Inc.,MIA,CLT,1315,1522,650.0,0.0,0.0,-1.0,14.0,99.0,0.0
